entry_time,mint,symbol,entry_price_usd,exit_time,exit_price_usd,exit_reason,pnl_percent,pnl_usd,pnl_sol,assumed_position_usd,assumed_position_sol,ret15_percent,ret5_percent,greens_last5,likely_non_fill_reason,confidence,confidence_notes
2026-02-24T16:02:48.057Z,7CWLxXfjRZ8WP8HVWBSHoti9pVP9FfN5UwZ71JyXpump,Limited,0.0003081,2026-02-24T16:03:08.480Z,0.00030794595,stopAtEntry,-0.05%,-0.0100,-0.00012118,20.0000,0.24236549,+12.98%,+14.62%,2,cooldown collision,high,prev event 42s ago (< cooldown 180s)
2026-02-24T16:02:48.057Z,F5tfztTnE4sYsMhZT5KrFpWvHmYSfJZoRjCuxKPbpump,Aliens,0.001026,2026-02-24T16:11:35.421Z,0.001025487,stopAtEntry,-0.05%,-0.0100,-0.00012118,20.0000,0.24236549,+4.50%,+3.54%,2,cooldown collision,high,prev event 20s ago (< cooldown 180s)
2026-02-24T16:03:08.480Z,7CWLxXfjRZ8WP8HVWBSHoti9pVP9FfN5UwZ71JyXpump,Limited,0.0003053,2026-02-24T16:03:48.763Z,0.00030514735000000004,stopAtEntry,-0.05%,-0.0100,-0.00012118,20.0000,0.24236549,+10.94%,+13.58%,2,cooldown collision,high,prev event 20s ago (< cooldown 180s)
2026-02-24T16:03:08.481Z,4fSWEw2wbYEUCcMtitzmeGUfqinoafXxkhqZrA9Gpump,Pigeon,0.002032,2026-02-24T16:03:48.763Z,0.002030984,stopAtEntry,-0.05%,-0.0100,-0.00012118,20.0000,0.24236549,+12.39%,+3.83%,2,cooldown collision,high,prev event 20s ago (< cooldown 180s)
2026-02-24T16:03:08.481Z,GDmSzyg3F3CqgusT4CcxhjaKKfaucN98L4EUePeqpump,PETAH,0.0005295,2026-02-24T16:03:48.763Z,0.0005292352500000001,stopAtEntry,-0.05%,-0.0100,-0.00012118,20.0000,0.24236549,+6.24%,+1.59%,2,data insufficiency/unknown,medium,candidate reason=marketData(lowConfidence)
2026-02-24T16:03:08.481Z,H7noGdq7WnvbfdgnZzwYtRdZFCADe5rivUjuiofKpump,RETURN,0.0005359,2026-02-24T16:04:31.826Z,0.00053563205,stopAtEntry,-0.05%,-0.0100,-0.00012118,20.0000,0.24236549,+38.37%,+22.52%,2,cooldown collision,high,prev event 20s ago (< cooldown 180s)
2026-02-24T16:03:08.481Z,F5tfztTnE4sYsMhZT5KrFpWvHmYSfJZoRjCuxKPbpump,Aliens,0.00103,2026-02-24T16:11:35.421Z,0.0010294850000000001,stopAtEntry,-0.05%,-0.0100,-0.00012118,20.0000,0.24236549,+4.91%,+3.95%,2,cooldown collision,high,prev event 20s ago (< cooldown 180s)
2026-02-24T16:03:29.219Z,GDmSzyg3F3CqgusT4CcxhjaKKfaucN98L4EUePeqpump,PETAH,0.0005295,2026-02-24T16:03:48.763Z,0.0005292352500000001,stopAtEntry,-0.05%,-0.0100,-0.00012118,20.0000,0.24236549,+6.24%,+1.59%,2,cooldown collision,high,prev event 21s ago (< cooldown 180s)
2026-02-24T16:03:29.219Z,6ydMmFRaNt4AHBjgvSogbBvcxnTrX3QzUe2AEzVppump,Pippkin,0.001923,2026-02-24T16:04:10.103Z,0.0019220385000000002,stopAtEntry,-0.05%,-0.0100,-0.00012118,20.0000,0.24236549,+9.01%,+9.82%,2,cooldown collision,high,prev event 62s ago (< cooldown 180s)
2026-02-24T16:03:29.219Z,H7noGdq7WnvbfdgnZzwYtRdZFCADe5rivUjuiofKpump,RETURN,0.0005668,2026-02-24T16:04:31.826Z,0.0005665166000000001,stopAtEntry,-0.05%,-0.0100,-0.00012118,20.0000,0.24236549,+43.46%,+29.58%,3,cooldown collision,high,prev event 21s ago (< cooldown 180s)
