entryT,mint,symbol,entryPrice,ret15,ret5,greensLast5,cooldownCollision,sampleGapPrevMs,sampleGapNextMs,minFuture2mPct,trackedSameDay,nearCandOutcome,nearCandReason,likelyNonFillReason,confidence,confidenceNotes,proxyExitReason,proxyPnlPct,maxRunupPct,maxDrawdownPct
2026-02-24T18:37:15.383Z,4KVGATyKJNhm8y8afj5314rNAkB9MZGJVDE5cCKTpump,KOL,0.0002446,0.13345690454124187,0.04888507718696389,2,true,21085,18943,-0.019623875715453726,true,seen,evaluated,cooldown collision,high,prev event 21s ago (< cooldown 180s),stopAtEntry,-0.0004999999999998497,0,-0.010220768601798772
2026-02-24T18:37:34.324Z,Br34SVc9DPCJtasCquNNcWznCNXp65NgMzpPP7i2pump,Adam,0.0001131,0.0385674931129476,0.011627906976744228,2,false,18943,18397,-0.11582670203359853,true,seen,evaluated,slippage/impact constraint likely,medium,ret5=1.16% ret15=3.86% minFuture2m=-11.58%,stopAtEntry,-0.000499999999999988,0,-0.08753315649867371
2026-02-24T18:37:34.326Z,DZq1fdJfGjv27Cev8hNFZXJwhApB3xHpo3KMTTRvpump,Fergani ,0.0003654,0.5542322415993194,0.16666666666666655,2,true,18943,18397,-0.14176245210727972,true,seen,evaluated,cooldown collision,high,prev event 19s ago (< cooldown 180s),stopAtEntry,-0.0004999999999998909,0.013136288998357986,-0.14176245210727972
2026-02-24T18:37:52.721Z,44K1ecLg2t9p9VJvuNf97ZhXnyEJnCcGafdHAc1Wpump,Skeleton,0.00004008,0.5187571049640016,0.5187571049640016,2,true,18396,21946,-0.27495009980039925,true,seen,evaluated,cooldown collision,high,prev event 58s ago (< cooldown 180s),stopAtEntry,-0.0004999999999999805,0,-0.2370259481037924
2026-02-24T18:37:52.723Z,DZq1fdJfGjv27Cev8hNFZXJwhApB3xHpo3KMTTRvpump,Fergani ,0.0003702,0.5746490854955338,0.46035502958579894,3,true,18397,21945,-0.1528903295515938,true,seen,evaluated,cooldown collision,high,prev event 18s ago (< cooldown 180s),stopAtEntry,-0.0004999999999999066,0,-0.1528903295515938
2026-02-24T18:38:59.436Z,DZq1fdJfGjv27Cev8hNFZXJwhApB3xHpo3KMTTRvpump,Fergani ,0.0003384,0.44,0.06818181818181812,2,true,23288,21375,0.025709219858156013,true,seen,evaluated,cooldown collision,high,prev event 67s ago (< cooldown 180s),stopAtEntry,-0.000499999999999895,0.025709219858156013,-0.0638297872340425
2026-02-24T18:39:20.811Z,6ydMmFRaNt4AHBjgvSogbBvcxnTrX3QzUe2AEzVppump,Pippkin,0.001611,0.06547619047619041,0.01129943502824859,2,true,21375,23527,0,true,seen,evaluated,cooldown collision,high,prev event 147s ago (< cooldown 180s),stopAtEntry,-0.0004999999999999649,0.009931719428926105,-0.025450031036623227
2026-02-24T18:39:20.811Z,DZq1fdJfGjv27Cev8hNFZXJwhApB3xHpo3KMTTRvpump,Fergani ,0.0003471,0.4770212765957446,0.09876543209876544,2,true,21375,23528,0,true,seen,evaluated,cooldown collision,high,prev event 21s ago (< cooldown 180s),stopAtEntry,-0.0004999999999999544,0,-0.00576202823393833
2026-02-24T18:39:44.339Z,DZq1fdJfGjv27Cev8hNFZXJwhApB3xHpo3KMTTRvpump,Fergani ,0.0003471,0.4196319018404908,0.09876543209876544,2,true,23528,175926,,true,seen,evaluated,cooldown collision,high,prev event 24s ago (< cooldown 180s),stopAtEntry,-0.0004999999999999544,0,-0.00576202823393833
2026-02-24T18:42:40.264Z,6ydMmFRaNt4AHBjgvSogbBvcxnTrX3QzUe2AEzVppump,Pippkin,0.001627,0.10831062670299733,0.016874999999999935,2,false,175926,159944,,true,seen,evaluated,momentum gate not live at tick (sampling drift),low,large sample gap prev=176s next=160s,stopAtEntry,-0.0004999999999999094,0,-0.0006146281499692169
2026-02-24T18:42:40.271Z,3bzeQJqDPfQQbxJ6VmtMkXyyQEJrj9HS1SMvHR1Hpump,WILSON,0.0003446,0.03421368547418953,0.07822277847309123,3,false,199460,159940,,false,seen,evaluated,momentum gate not live at tick (sampling drift),low,large sample gap prev=199s next=160s,stopAtEntry,-0.0004999999999999755,0,-0.02756819500870563
